id;first_name;last_name;email;phone_number;identity_card;date_inspiration;nationality;upload_identity_card;upload_identity_card_content_type;type_employed;city_agency;residence_city;address;social_security_number;birth_date;birth_place;entry_date;release_date;workstation;description_workstation;level;coefficient;number_hours;average_hourly_cost;monthly_gross_amount;commission_amount;contract_type;salary_type;hire_date
1;Kenneth;Hessel;Golda_Kerluke93@gmail.com;pointless ensue;pinstripe lively quicker;2024-01-18T18:21:31;CAMEROON;../fake-data/blob/hipster.png;image/png;MARKETER;lightly;optimistically ugh;wind fooey yearningly;failing;2024-01-18T00:14:21;duh merrily;2024-01-18T05:58:44;2024-01-18T01:57:31;prostacyclin;outrage of upwardly;E;22620;frighten under;lollipop;16452;19010;EXTERNAL;NON_EXECUTIVE_SALARIED;2024-01-18T11:56:17
2;Brennon;Johns;Will_Nikolaus47@hotmail.com;furthermore hedgehog geez;easily briefly;2024-01-18T04:59:28;MALI;../fake-data/blob/hipster.png;image/png;SALARY;underneath discomfit;provided;yuck frank;drat yowza so;2024-01-18T04:52:04;hm daintily;2024-01-18T15:54:28;2024-01-18T12:53:02;ah bleakly nor;last sheepishly;B;30317;through zowie for;sleepily bridle unconscious;5089;13832;INTERN;EXECUTIVE_SALARIED;2024-01-18T01:57:15
3;Jonatan;Reichel-Sanford;Vesta_Dickens64@yahoo.com;variability friction;surprise pass;2024-01-18T05:32:19;COTE_IVOIRE;../fake-data/blob/hipster.png;image/png;MARKETER;who worriedly;quicker or obediently;ashamed however;chuck;2024-01-18T00:55:10;towards ick inwardly;2024-01-17T22:37:32;2024-01-18T17:14:48;fast charity skedaddle;hallway demonize increase;D;557;blah er huzzah;great resume;30365;24838;EXTERNAL;EXECUTIVE_SALARIED;2024-01-18T05:06:06
4;Stephon;Rodriguez;Buford14@yahoo.com;wisely paintwork likewise;searchingly;2024-01-18T01:25:54;MALI;../fake-data/blob/hipster.png;image/png;SALARY;commander;when since;dog;evenly yuck;2024-01-18T13:26:15;backyard gosh inasmuch;2024-01-17T20:44:03;2024-01-18T15:07:23;sans scrap;before;D;7742;dictionary;ack similar;26295;13224;INTERN;ASSOCIATE;2024-01-18T00:52:00
5;Jayson;Gusikowski;Ivah.Hammes@hotmail.com;while correctly consequently;interloper but;2024-01-18T09:21:18;SENEGAL;../fake-data/blob/hipster.png;image/png;CONSULTANT;immobilise amid;waddle break;unless;wonderfully;2024-01-17T21:17:42;spork;2024-01-17T21:48:46;2024-01-18T03:43:05;entitle prime ah;pry activity till;E;3054;mint;usable cruelly detailed;17821;6075;COMMERCIAL_AGENT;EXECUTIVE_SALARIED;2024-01-18T04:14:07
6;Rosetta;Kerluke;Theodora_Schiller0@gmail.com;gee proud motherly;frail pagan er;2024-01-18T13:22:22;CAMEROON;../fake-data/blob/hipster.png;image/png;MARKETER;busy;humongous common;snakebite lessen;ugh thousand;2024-01-18T09:12:16;till;2024-01-18T18:42:28;2024-01-18T19:01:31;rain besides whereas;c-clamp;C;22724;transmute truck;a;4763;27319;CDI;NON_EXECUTIVE_SALARIED;2024-01-18T01:58:10
7;Tony;Sipes;Erin_Erdman25@hotmail.com;defeat how;when;2024-01-17T19:57:27;SENEGAL;../fake-data/blob/hipster.png;image/png;SALARY;yet;patriarch drug concede;since correctly;cage;2024-01-17T21:39:41;while unfasten;2024-01-18T16:18:11;2024-01-18T04:53:02;mint;real;D;14040;shout chromakey;quarry jolt;1798;18620;CDI;ASSOCIATE;2024-01-18T01:32:23
8;Aniyah;Leffler;Lauryn33@hotmail.com;during while circle;within when the;2024-01-18T04:24:11;SENEGAL;../fake-data/blob/hipster.png;image/png;SALARY;filth active;dance;unless epoch um;outgun enthusiastically apud;2024-01-18T05:26:45;athwart dollar inlay;2024-01-17T20:48:15;2024-01-17T19:36:42;er loftily abstract;plaintive;B;20056;hive emit;rob;29146;12239;CDI;NON_EXECUTIVE_SALARIED;2024-01-18T19:21:11
9;Justus;Breitenberg;Adella.Ziemann70@hotmail.com;vacantly loose;queasily lottery mishandle;2024-01-17T23:37:01;COTE_IVOIRE;../fake-data/blob/hipster.png;image/png;SALARY;of;out geez garden;unknown because however;along;2024-01-17T23:24:30;shift within;2024-01-18T08:35:02;2024-01-18T16:48:32;outrun fatally;ugh fountain;B;8852;from;bonus psst likewise;27160;25742;EXTERNAL;EXECUTIVE_SALARIED;2024-01-18T12:28:24
10;Zora;Gislason;Hester49@yahoo.com;unlike;unless waffle plus;2024-01-18T07:40:07;MALI;../fake-data/blob/hipster.png;image/png;CONSULTANT;distinguish;absent;drat;weak;2024-01-17T22:09:05;gosh;2024-01-18T05:35:56;2024-01-17T22:01:17;openly bifurcate gah;however fatally not;C;29972;hm sheepishly;kindheartedly failing of;3541;12021;CDI;NON_EXECUTIVE_SALARIED;2024-01-18T13:35:56
